num_topics,likelihood,coherence_cv,coherence_umass,coherence_uci,perplexity
2,-17944.370974220194,0.43417559878575274,-1.555826726271897,0.21155407040986068,-5.115607505854432
3,-27961.284483930136,0.6747673704175754,-1.555826726271897,0.6760317202711263,-4.9629609981280005
4,-31808.46337141023,0.64991648817197,-1.555826726271897,0.7126178326651066,-4.901238580169803
5,-38742.86986355443,0.6850626706026163,-1.555826726271897,0.7647854913905444,-4.823101645579366
6,-42081.77429293312,0.6971279771500055,-1.555826726271897,0.8067906867754983,-4.761869356430289
7,-47057.25744081836,0.6462049158200741,-1.555826726271897,0.7448999099329824,-4.763828448821251
8,-49127.7217055978,0.7344896875978968,-1.555826726271897,0.98602315352189,-4.699907531741535
9,-51996.18099785564,0.6968880951589763,-1.555826726271897,0.8942429097485525,-4.682896785067289
