pred_topic,top_motif
0,"[('motif_60', 30848), ('motif_184', 23337), ('motif_218', 18616), ('motif_166', 15322), ('motif_94', 11920)]"
1,"[('motif_60', 7868), ('motif_17', 6230), ('motif_62', 5925), ('motif_31', 5633), ('motif_26', 5542)]"
2,"[('motif_37', 20847), ('motif_23', 19423), ('motif_42', 18426), ('motif_40', 15558), ('motif_13', 15452)]"
3,"[('motif_11', 8613), ('motif_12', 8370), ('motif_10', 8326), ('motif_6', 7919), ('motif_9', 7744)]"
4,"[('motif_60', 15366), ('motif_126', 6997), ('motif_84', 6921), ('motif_248', 5825), ('motif_2', 5698)]"
