pred_topic,top_motif
0,"[('motif_60', 29519), ('motif_184', 22151), ('motif_218', 18099), ('motif_166', 15383), ('motif_94', 12156)]"
1,"[('motif_41', 5515), ('motif_48', 5515), ('motif_49', 5480), ('motif_50', 5007), ('motif_57', 4623)]"
2,"[('motif_175', 2581), ('motif_147', 2304), ('motif_60', 2293), ('motif_16', 2285), ('motif_14', 2279)]"
3,"[('motif_37', 18382), ('motif_23', 17081), ('motif_42', 16491), ('motif_40', 13916), ('motif_13', 13804)]"
4,"[('motif_17', 4348), ('motif_26', 3936), ('motif_31', 3889), ('motif_35', 3461), ('motif_60', 3432)]"
5,"[('motif_11', 8039), ('motif_12', 7840), ('motif_10', 7794), ('motif_6', 7474), ('motif_9', 7332)]"
6,"[('motif_54', 8261), ('motif_122', 6509), ('motif_86', 6425), ('motif_93', 6382), ('motif_62', 6342)]"
7,"[('motif_219', 5892), ('motif_264', 4959), ('motif_188', 4210), ('motif_173', 3944), ('motif_190', 3863)]"
8,"[('motif_60', 15972), ('motif_126', 8322), ('motif_84', 8021), ('motif_2', 5907), ('motif_239', 5588)]"
