pred_topic,top_motif
0,"[('motif_60', 31784), ('motif_184', 23480), ('motif_218', 19074), ('motif_166', 15754), ('motif_98', 12422)]"
1,"[('motif_37', 19609), ('motif_23', 18232), ('motif_42', 17535), ('motif_40', 14766), ('motif_13', 14601)]"
2,"[('motif_11', 7910), ('motif_12', 7730), ('motif_10', 7677), ('motif_6', 7378), ('motif_9', 7241)]"
3,"[('motif_60', 14148), ('motif_126', 9742), ('motif_84', 8996), ('motif_62', 6481), ('motif_224', 5046)]"
4,"[('motif_41', 5907), ('motif_48', 5899), ('motif_49', 5861), ('motif_50', 5432), ('motif_57', 4866)]"
5,"[('motif_54', 8337), ('motif_62', 6990), ('motif_122', 6616), ('motif_60', 6592), ('motif_86', 6452)]"
6,"[('motif_175', 2530), ('motif_147', 2298), ('motif_60', 1986), ('motif_137', 1919), ('motif_104', 1612)]"
