num_topics,likelihood,coherence_cv,coherence_umass,coherence_uci,perplexity
2,-18039.164087197336,0.536841275443674,-1.568913339952001,0.4113135185165094,-5.104206422556327
3,-25448.78619993081,0.5319771271950177,-1.681825703371601,0.4691770993562088,-5.031001276754723
4,-33521.91712313656,0.6157931540715109,-1.561299982070476,0.632652443014669,-4.91161652806905
5,-35814.16976854499,0.7444441968019083,-1.351924232763107,0.9173814371839171,-4.804642958117152
6,-44779.15296452151,0.7560262888980295,-1.2936051024567823,0.9600437247034693,-4.774857782568854
7,-43638.01373687387,0.7026354977523898,-1.5363047159551473,0.8902269087878859,-4.729814553496755
8,-47882.11157096832,0.7121904343451513,-1.5152111919095643,0.902591961993945,-4.67598557443039
9,-50964.736442599286,0.7183785054651171,-1.4796840555224637,0.9323398864390846,-4.651199893365425
