pred_topic,top_motif
0,"[('motif_219', 8741), ('motif_60', 7915), ('motif_264', 6612), ('motif_188', 4958), ('motif_84', 4664)]"
1,"[('motif_62', 3457), ('motif_60', 3372), ('motif_126', 2869), ('motif_256', 2488), ('motif_120', 2481)]"
2,"[('motif_60', 33200), ('motif_184', 23800), ('motif_218', 19270), ('motif_166', 15791), ('motif_98', 12492)]"
3,"[('motif_60', 9350), ('motif_11', 9061), ('motif_12', 8802), ('motif_10', 8739), ('motif_6', 8230)]"
4,"[('motif_60', 8913), ('motif_17', 5846), ('motif_31', 5431), ('motif_26', 5263), ('motif_62', 4974)]"
5,"[('motif_37', 19209), ('motif_23', 17922), ('motif_42', 17197), ('motif_40', 14463), ('motif_13', 14332)]"
