pred_topic,top_motif
0,"[('motif_60', 14999), ('motif_126', 9563), ('motif_84', 8958), ('motif_62', 6430), ('motif_224', 5150)]"
1,"[('motif_60', 31301), ('motif_184', 23373), ('motif_218', 19037), ('motif_166', 15828), ('motif_98', 12441)]"
2,"[('motif_41', 5489), ('motif_48', 5487), ('motif_49', 5440), ('motif_50', 4980), ('motif_57', 4636)]"
3,"[('motif_37', 17046), ('motif_23', 15859), ('motif_42', 15246), ('motif_40', 13155), ('motif_13', 12949)]"
4,"[('motif_17', 4338), ('motif_26', 3904), ('motif_31', 3843), ('motif_60', 3481), ('motif_35', 3435)]"
5,"[('motif_248', 3995), ('motif_167', 3586), ('motif_163', 2965), ('motif_236', 2799), ('motif_60', 2375)]"
6,"[('motif_54', 7669), ('motif_122', 6197), ('motif_93', 5953), ('motif_86', 5943), ('motif_62', 5378)]"
7,"[('motif_11', 8330), ('motif_12', 8142), ('motif_10', 8051), ('motif_6', 7700), ('motif_9', 7571)]"
