iterations,passes,Avg. ARI
10,1,0.9122767203445793
10,3,0.8863985933973499
10,5,0.9305250135147988
10,7,0.9114332207063921
10,9,0.965444331829441
10,11,0.9246759228159321
50,1,0.8615596468874397
50,3,0.8619544379772114
50,5,0.8708569455317068
50,7,0.9488088725125221
50,9,0.9221618408983568
50,11,0.96774754059864
100,1,0.9275540872541754
100,3,0.9326659350912736
100,5,0.8816106228587597
100,7,0.8568803412231464
100,9,0.8094129857621357
100,11,0.8152169793990417
150,1,0.8241239666246905
150,3,0.8816092730307801
150,5,0.7250710825436307
150,7,0.9407039883607607
150,9,0.9459175591382545
150,11,0.9487641125037131
200,1,0.8785354547325823
200,3,0.9308644106881803
200,5,0.913759979322432
200,7,0.914219788900826
200,9,0.9568469257820092
200,11,0.7649183944926335
250,1,0.8391952757767749
250,3,0.7945979521852722
250,5,0.936559728031251
250,7,0.8295174211656864
250,9,0.921765320274643
250,11,0.8838570625787513
