num_topics,likelihood,coherence_cv,coherence_umass,coherence_uci,perplexity
2,-1115.2293026321174,0.22450482415521444,-13.792294337173225,-12.292968805048053,-1.4222376219143993
3,-1187.0911612814077,0.22450482415521444,-13.894599967488512,-12.292968805048053,-1.532063183031584
4,-1186.3800143385113,0.2245048241552145,-13.813003008973224,-12.292968805048053,-1.5200592862641975
5,-1107.6002348155819,0.22450482415521447,-13.776889051478008,-12.292968805048053,-1.6768657571451384
6,-1173.969833803714,0.22450482415521447,-13.81250466842699,-12.292968805048053,-1.8287697968672705
7,-1135.7891378358813,0.22450482415521447,-13.72232954018428,-12.292968805048051,-1.9121518351273377
8,-1095.2703647158364,0.22450482415521444,-13.865865181765843,-12.292968805048053,-1.8431932463080656
9,-1143.98340634628,0.22450482415521444,-13.851133946774283,-12.292968805048053,-2.007941265518849
