num_topics,likelihood,coherence_cv,coherence_umass,coherence_uci,perplexity,ARI
2,-300.3337519214466,0.2205051034908483,-13.967991647765,-12.312024693235895,-1.3680256065434584,0.9192853128937568
3,-330.79819299527065,0.2205051034908483,-13.90876567826922,-12.312024693235893,-1.4814854843637475,0.9192853128937568
4,-379.1163649207991,0.2205051034908483,-13.844155187486008,-12.312024693235895,-1.5074453490469384,1.0
5,-476.2047338253165,0.22050510349084834,-13.750215837399864,-12.312024693235895,-1.630727246106597,0.8632279757503656
6,-517.6964723904437,0.22050510349084831,-13.895955203859701,-12.312024693235896,-1.7304072284531804,0.7963700673703145
7,-462.5818205918311,0.2205051034908483,-13.931397735943785,-12.312024693235896,-1.754018669524522,0.9428052037489112
8,-499.0245539836056,0.22050510349084831,-13.947274430580961,-12.312024693235895,-1.8547026915490195,0.8577878236821534
9,-755.2285378631186,0.22050510349084831,-13.845353419047676,-12.312024693235895,-2.017658191277288,0.514447631875943
