seq_no.,module,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_string,motif_list
75,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
76,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
77,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
78,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
79,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
80,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
81,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
82,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
83,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
84,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
85,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
86,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
87,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
88,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
89,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
90,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
91,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
92,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
93,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
94,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
95,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
96,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
97,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
98,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
99,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
100,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
101,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
102,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
103,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
104,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
105,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
106,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
107,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
108,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
109,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
110,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
111,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
112,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
113,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
114,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
115,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
116,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
117,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
118,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
119,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
120,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
121,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
122,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
123,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
124,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
125,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
126,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
127,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
128,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
129,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
130,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
131,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
132,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
133,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
134,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
135,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
136,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
137,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
138,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
139,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
140,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
141,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
142,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
143,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
144,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
145,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
146,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
147,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
148,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
149,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
150,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
151,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
152,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
153,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
